YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1960,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.79,-4.31,999.90,999.90,999.90,999.90,999.90
1961,-6.11,-0.01,3.69,6.69,12.99,20.09,22.09,21.99,19.09,12.39,4.79,-3.32,-3.48,7.79,21.39,12.09,9.45
1962,-8.12,-3.82,1.18,9.78,18.68,20.38,21.08,22.48,16.38,13.68,4.88,-4.52,-5.09,9.88,21.31,11.65,9.44
1963,-11.02,-8.02,4.78,10.88,13.88,20.98,22.68,20.68,18.68,16.18,999.90,999.90,-7.85,9.85,21.45,14.00,9.36
1964,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,18.08,12.18,4.98,2.18,999.90,999.90,999.90,11.75,999.90
1966,-8.42,-2.92,4.58,7.78,12.28,20.68,24.08,21.28,17.38,11.18,6.18,-2.43,-3.05,8.21,22.01,11.58,9.69
1967,-2.03,-6.43,2.87,9.47,12.47,21.37,20.57,19.37,16.87,11.18,2.48,-1.42,-3.63,8.27,20.44,10.18,8.81
1968,-5.02,-5.12,5.58,10.88,13.48,20.78,21.78,22.68,18.18,12.18,4.08,-2.82,-3.85,9.98,21.75,11.48,9.84
1969,-6.52,-1.62,0.98,9.98,15.38,17.58,22.38,22.88,18.08,10.58,3.08,-2.72,-3.65,8.78,20.95,10.58,9.16
1970,-9.22,-3.72,1.18,10.58,16.18,20.38,23.38,22.28,17.98,12.58,4.38,-1.13,-5.22,9.31,22.01,11.65,9.44
1971,-7.73,-2.63,1.27,8.87,13.57,22.67,21.57,21.77,20.57,16.07,4.97,1.21,-3.83,7.90,22.00,13.87,9.99
1972,-6.99,-4.69,1.11,7.11,16.11,18.71,23.21,23.21,17.51,9.61,3.21,-4.49,-3.49,8.11,21.71,10.11,9.11
1973,-2.19,-1.89,6.71,8.91,12.61,21.71,23.71,23.61,18.91,14.41,5.51,-2.19,-2.86,9.41,23.01,12.94,10.63
1974,-4.09,-2.59,3.71,11.31,13.81,18.61,23.11,21.11,15.91,11.51,4.81,-1.00,-2.96,9.61,20.94,10.74,9.59
1975,-2.60,-3.30,1.20,6.30,16.80,21.40,23.95,24.35,16.15,12.95,8.15,-0.55,-2.30,8.10,23.23,12.42,10.36
1976,-7.05,1.55,5.75,11.05,13.05,20.95,23.05,21.35,16.85,8.75,-0.05,-7.25,-2.02,9.95,21.78,8.52,9.56
1977,-12.15,-3.15,6.95,12.55,19.35,20.55,25.05,21.85,18.65,10.55,4.25,-4.65,-7.52,12.95,22.48,11.15,9.77
1978,-9.35,-8.75,-0.35,8.35,14.35,19.55,21.95,22.25,20.25,10.55,4.65,-3.75,-7.58,7.45,21.25,11.82,8.23
1979,-11.15,-9.05,2.15,7.25,14.95,20.45,21.95,21.35,18.75,11.65,4.55,0.64,-7.98,8.12,21.25,11.65,8.26
1980,-4.18,-5.28,1.02,8.72,16.02,19.12,24.92,24.92,19.52,9.72,5.02,-1.68,-2.94,8.59,22.99,11.42,10.01
1981,-4.68,-1.58,3.72,11.62,13.62,21.62,23.12,22.42,17.12,10.12,5.52,-3.38,-2.65,9.65,22.39,10.92,10.08
1982,-10.38,-5.18,2.32,7.52,18.52,17.32,24.02,21.02,17.32,12.42,4.52,2.82,-6.31,9.45,20.79,11.42,8.84
1983,-2.58,-0.28,3.62,6.92,12.42,21.62,25.42,25.82,18.72,12.22,5.72,-9.29,-0.01,7.65,24.29,12.22,11.04
1984,-7.69,1.71,-0.79,8.31,13.71,21.91,21.91,23.31,16.81,13.21,3.91,0.01,-5.09,7.08,22.38,11.31,8.92
